class,str_replace,error_reporting,md5,empty,isset,function_exists,substr,explode,fopen,fclose,basename,htmlspecialchars,date,fwrite,base64_decode,filesize,strpos,readdir,eval,unset,getelementbyid,array_merge,stripslashes,strlen,in_array,join,strtolower,ob_start,implode,sprintf,apply_filters
malware,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
malware,7,1,0,8,11,1,6,15,3,12,11,2,4,7,3,4,0,2,1,4,0,0,1,24,1,1,0,1,4,0,0
malware,31,1,1,0,0,1,22,24,7,7,8,131,15,5,5,2,2,5,4,14,3,8,1,6,0,8,7,1,5,2,0
malware,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
malware,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
malware,5,1,0,0,1,6,4,2,0,0,8,1,0,0,0,2,0,3,1,0,2,1,2,0,0,0,9,3,3,0,0
malware,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
malware,4,1,8,0,0,3,6,4,0,3,1,46,7,4,1,0,0,2,4,2,4,4,1,10,0,1,2,9,13,7,0
malware,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
malware,8,1,2,1,8,0,7,9,4,5,3,1,1,1,0,3,0,2,2,1,11,0,1,12,0,0,1,0,8,0,0
malware,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
malware,3,1,22,2,4,7,8,4,0,3,1,47,7,4,2,0,0,3,4,2,4,5,1,15,0,2,2,10,12,6,0
malware,0,0,0,0,0,0,0,0,4,1,0,0,0,2,0,2,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0
malware,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
malware,2,0,0,0,0,0,2,0,0,2,0,2,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0
malware,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
malware,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
malware,49,1,2,0,0,0,17,30,11,8,12,146,16,8,3,3,2,5,2,12,3,8,1,6,1,13,9,0,3,3,0
malware,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
malware,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
malware,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
malware,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
malware,0,0,0,0,0,0,0,0,1,1,0,5,0,0,0,1,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0
malware,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
